Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-05-19 21:26:02,KSMUSDT,BUY,387.6000000000,0.5000000000KSM,193.80000000USDT,0.0004033800BNB
2021-05-19 21:26:02,KSMUSDT,BUY,387.6000000000,0.0557000000KSM,21.58932000USDT,0.0000449300BNB
2021-05-19 21:26:02,KSMUSDT,BUY,387.6000000000,0.3746000000KSM,145.19496000USDT,0.0003022100BNB
2021-05-19 21:26:02,KSMUSDT,BUY,387.6000000000,0.2510000000KSM,97.28760000USDT,0.0002024900BNB
2021-05-19 21:23:06,DOTEUR,BUY,21.5600000000,11.3790000000DOT,245.33124000EUR,0.0006114400BNB
2021-05-19 21:23:06,DOTEUR,BUY,21.5980000000,6.3270000000DOT,136.65054600EUR,0.0003399700BNB
2021-05-19 21:23:04,KSMUSDT,BUY,387.6000000000,0.0570000000KSM,22.09320000USDT,0.0000456800BNB
2021-05-19 21:13:13,EURUSDT,SELL,1.2086000000,100.0000000000EUR,120.86000000USDT,0.0002478000BNB
2021-05-19 21:06:14,EURUSDT,SELL,1.2082000000,400.0000000000EUR,483.28000000USDT,0.0009677700BNB
2021-05-19 15:48:03,KSMUSDT,BUY,440.2600000000,0.4018000000KSM,176.89646800USDT,0.0003554400BNB
2021-05-19 15:46:58,EURUSDT,SELL,1.2082000000,146.4300000000EUR,176.91672600USDT,0.0003571800BNB
2021-05-19 15:46:28,DOTEUR,BUY,22.9020000000,6.5490000000DOT,149.98519800EUR,0.0003653700BNB
2021-05-19 15:40:57,KSMUSDT,BUY,429.9900000000,0.2813000000KSM,120.95618700USDT,0.0002813000KSM
2021-05-17 21:06:26,BNBBUSD,BUY,522.8600000000,0.1733000000BNB,90.61163800BUSD,0.0001299700BNB
2021-05-17 20:59:27,BNBEUR,BUY,434.4700000000,0.2177000000BNB,94.58411900EUR,0.0001632700BNB
2021-05-17 20:53:40,EURUSDT,SELL,1.2112000000,100.0000000000EUR,121.12000000USDT,0.1211200000USDT
2021-05-14 08:10:40,BNBEUR,BUY,495.2700000000,0.3028000000BNB,149.96775600EUR,0.0002271000BNB
2021-05-13 08:30:13,BNBEUR,BUY,509.6500000000,0.0981000000BNB,49.99666500EUR,0.0000735700BNB
2021-05-12 23:53:43,BNBEUR,BUY,502.6000000000,0.1882000000BNB,94.58932000EUR,0.0001411500BNB
2021-05-11 19:38:30,EURUSDT,SELL,1.2112000000,196.4000000000EUR,237.87968000USDT,0.0002666700BNB
2021-05-10 20:12:15,DOTUSDT,BUY,34.3810000000,7.9290000000DOT,272.60694900USDT,0.0003313800BNB
2021-05-10 20:12:15,DOTUSDT,BUY,34.3780000000,0.5860000000DOT,20.14550800USDT,0.0000244800BNB
2021-05-10 11:36:42,SHIBUSDT,BUY,0.0000262300,"5,131,745.0000000000SHIB",134.60567135USDT,0.0001539500BNB
2021-05-10 11:31:48,SHIBUSDT,BUY,0.0000285800,"3,498,950.0000000000SHIB",99.99999100USDT,0.0001049600BNB
2021-05-10 10:19:01,GRTUSDT,SELL,1.5316000000,202.7700000000GRT,310.56253200USDT,0.0003484700BNB
2021-05-10 10:19:01,GRTUSDT,SELL,1.5315000000,146.2900000000GRT,224.04313500USDT,0.0002513900BNB
2021-05-09 22:34:40,EURUSDT,SELL,1.2129000000,300.0000000000EUR,363.87000000USDT,0.0004125600BNB
2021-04-23 16:09:56,GRTEUR,BUY,1.1146000000,182.3800000000GRT,203.28074800EUR,0.0003604200BNB
2021-04-23 16:09:36,BCHEUR,SELL,666.7600000000,0.3070000000BCH,204.69532000EUR,0.0003635800BNB
2021-04-20 06:11:16,AAVEUSDT,BUY,344.5000000000,0.8000000000AAVE,275.60000000USDT,0.0004116300BNB
2021-04-20 06:11:16,AAVEUSDT,BUY,344.5000000000,0.7770000000AAVE,267.67650000USDT,0.0003998000BNB
2021-04-20 06:11:16,AAVEUSDT,BUY,344.5000000000,0.5100000000AAVE,175.69500000USDT,0.0002624100BNB
2021-04-19 22:15:20,BCHUSDT,SELL,916.3400000000,0.1930600000BCH,176.90860040USDT,0.0002604500BNB
2021-04-19 22:15:20,BCHUSDT,SELL,916.2500000000,0.4413900000BCH,404.42358750USDT,0.0005954100BNB
2021-04-19 22:15:20,BCHUSDT,SELL,916.3300000000,0.1505500000BCH,137.95348150USDT,0.0002031000BNB
2021-03-12 13:43:11,GRTEUR,BUY,1.4997000000,49.1900000000GRT,73.77024300EUR,0.0002501700BNB
2021-03-12 13:43:11,GRTEUR,BUY,1.4998000000,95.7400000000GRT,143.59085200EUR,0.0004869300BNB
2021-03-12 13:43:11,GRTEUR,BUY,1.5000000000,21.7500000000GRT,32.62500000EUR,0.0001106100BNB
2021-03-11 04:01:16,BNBEUR,BUY,240.5000000000,1.6630000000BNB,399.95150000EUR,0.0012472500BNB
2021-03-10 21:01:58,BNBEUR,SELL,230.3479000000,1.3100000000BNB,301.75574900EUR,0.3017557500EUR
2021-03-10 21:01:58,BNBEUR,SELL,230.3700000000,0.7040000000BNB,162.18048000EUR,0.1621804800EUR
2021-03-10 12:35:31,BNBEUR,BUY,238.3000000000,0.0010000000BNB,0.23830000EUR,0.0000000000BNB
2021-03-10 12:35:31,BNBEUR,BUY,238.3000000000,2.0130000000BNB,479.69790000EUR,0.0000000000BNB
2021-03-10 01:14:32,BNBEUR,SELL,238.3100000000,2.0200000000BNB,481.38620000EUR,0.0000000000BNB
